typ,symbol,nazwa
DZIAŁ,26,"PRODUKCJA KOMPUTERÓW, WYROBÓW ELEKTRONICZNYCH I OPTYCZNYCH"
DZIAŁ,27,PRODUKCJA URZĄDZEŃ ELEKTRYCZNYCH
DZIAŁ,28,"PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA"
DZIAŁ,29,"PRODUKCJA POJAZDÓW SILNIKOWYCH, PRODUKCJA PRZYCZEP I NACZEP"
DZIAŁ,30,PRODUKCJA POZOSTAŁEGO SPRZĘTU TRANSPORTOWEGO
DZIAŁ,31,PRODUKCJA MEBLI
DZIAŁ,32,POZOSTAŁA PRODUKCJA WYROBÓW
DZIAŁ,33,"NAPRAWA, KONSERWACJA I INSTALOWANIE MASZYN I URZĄDZEŃ"
DZIAŁ,35,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH"
DZIAŁ,36,"POBÓR, UZDATNIANIE I DOSTARCZANIE WODY"
DZIAŁ,37,ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW
DZIAŁ,38,"DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW"
DZIAŁ,39,DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI
DZIAŁ,41,ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW MIESZKALNYCH I NIEMIESZKALNYCH
DZIAŁ,42,ROBOTY ZWIĄZANE Z BUDOWĄ OBIEKTÓW INŻYNIERII LĄDOWEJ I WODNEJ
DZIAŁ,43,ROBOTY BUDOWLANE SPECJALISTYCZNE
DZIAŁ,46,HANDEL HURTOWY
DZIAŁ,47,HANDEL DETALICZNY
DZIAŁ,49,TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY
DZIAŁ,50,TRANSPORT WODNY
DZIAŁ,51,TRANSPORT LOTNICZY
DZIAŁ,52,"MAGAZYNOWANIE, PRZECHOWYWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT"
DZIAŁ,53,DZIAŁALNOŚĆ POCZTOWA I KURIERSKA
DZIAŁ,55,ZAKWATEROWANIE
DZIAŁ,56,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM
DZIAŁ,58,DZIAŁALNOŚĆ WYDAWNICZA
DZIAŁ,59,"DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH"
DZIAŁ,60,"NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI"
DZIAŁ,61,TELEKOMUNIKACJA
DZIAŁ,62,"DZIAŁALNOŚĆ ZWIĄZANA Z PROGRAMOWANIEM, DORADZTWEM W ZAKRESIE INFORMATYKI I DZIAŁALNOŚCI POWIĄZANE"
DZIAŁ,63,"DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI"
